,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
4102,Complete Portfolio Website Step-by-Step [ Web Development ],B Praveen Kumar,"Responsive Portfolio Website Using [ Html , Css , JavaScript ] Works on Desktop, Laptop , Tablets , Mobiles , Smart TV's",4.8,177,3.0,26,All Levels,269.99,599.99,Normal,24903.0,120,330.0
4103,Unity & 100+ Asset Store Kits - The Complete Game Developer,Mihai Morosanu,Learn how to use unity and the best 100+ asset store to create games of your dreams,3.4,177,40.5,246,All Levels,229.99,1199.99,Normal,992.0,83,970.0
4104,The Complete Android Animations Course,Mehdi Haghgoo,A Practical Dive into The World of Animation & Motion in Android,4.3,177,12.0,59,All Levels,319.99,849.99,Normal,1235.0,64,530.0
4105,AWS Identity and Access Management (IAM) Foundations,YouAccel Training,"Setup and Configure Multiple Users in an AWS account using IAM. Assign Privileges, Create Access Logs, and Setup MFA.",4.4,177,3.0,36,Beginner,229.99,1199.99,Normal,39644.0,117,970.0
4106,Selenium Webdriver course with Java for Beginners,Sashi R,"Selenium 3.0 Web driver course with Java , Maven and TestNG Framework for Beginners",4.6,177,9.0,48,Beginner,229.99,1199.99,Normal,3752.0,83,970.0
4107,Java Object-Oriented Programming : Build a Quiz Application,Abhay Redkar,Learn Java core object-oriented concepts and build a console-based quiz application.,4.5,177,2.5,37,All Levels,199.99,229.99,Normal,9516.0,84,30.0
4108,Mastering Drupal 8 Development,Packt Publishing,"Build a fully featured, multilingual, responsive web application with Drupal 8",4.2,177,5.0,91,Expert,269.99,779.99,Normal,1066.0,78,510.0
4109,Advanced Data Science Techniques in SPSS,Bogdan Anastasiei,Hone your SPSS skills to perfection -  grasp the most high level data analysis methods available in the SPSS program.,4.7,177,6.5,87,Expert,229.99,619.99,Normal,25198.0,117,390.0
4110,Absolute Beginner POSTMAN Training,Ricardo Custodio,Learn POSTMAN without any previous knowledge with this easy-to-follow course,4.3,177,1.5,17,Beginner,199.99,229.99,Normal,2173.0,76,30.0
4111,Houdini 16.5 - Procedural Prop Modeling - Ammo Crate,Indie - Pixel,Learn to model procedurally using Houdini and Substance Painter!,4.5,177,3.0,20,Beginner,269.99,319.99,Normal,896.0,64,50.0
4112,Mobile Product Management for beginners,Alexander Thomsen,Learn the fundamentals to successfully work closely with designers and developers to build mobile applications,4.4,177,2.0,47,Beginner,229.99,319.99,Normal,645.0,110,90.0
4113,Machine Learning & Training Neural Network in MATLAB,Sarthak Mishra,Machine Learning | Learn concepts of Machine Learning and how to train a Neural Network in MATLAB on Iris data-set.,2.8,177,1.5,6,Beginner,229.99,269.99,Normal,7483.0,115,40.0
4114,The Ultimate Python Unit Testing Course,Mohammad Mahjoub,This course is all you need to become a master python tester.,4.0,177,8.5,95,All Levels,269.99,1299.99,Normal,1137.0,61,1030.0
4115,Mastering Apache Airflow! Deploy to Kubernetes in AWS,Mihail Petkov,"Learn to programmatically author, schedule and monitor workflows with Apache Airflow. Deploy to Kubernetes in AWS.",4.3,177,5.0,85,All Levels,269.99,849.99,Normal,781.0,114,580.0
4116,Learn Advanced AI for Games with Behaviour Trees,"Penny de Byl, Penny @Holistic3D.com",Create your own Behaviour Tree API in C# and apply it in the Unity Game Engine,4.6,177,7.0,47,Intermediate,269.99,529.99,Normal,3521.0,78,260.0
4117,Clojure Fundamentals For Beginners,"Eduonix Learning Solutions, Eduonix-Tech .",Introduction to the Clojure programming language from ground up,3.4,176,5.0,21,Intermediate,269.99,419.99,Normal,875.0,63,150.0
4118,Coding for Kids - Learn to program with a Dad & Son,Craig Blewett,Learn to program by building your very own game in MIT's programming tool for beginners,4.6,176,2.5,33,Beginner,229.99,1199.99,Normal,1228.0,87,970.0
4119,Mern Full Stack Web Application with React & Web Development,Oak Academy,"Mern Full Stack Web development React projects & Web Application with React JS, NodeJS, Express JS, Mongodb: Mern Stack",4.3,176,27.0,237,All Levels,229.99,1199.99,Normal,673.0,119,970.0
4120,How to develop a productive HTTP client in Golang (Go),Federico León,Stop choosing between performant and testable HTTP clients. We're building one from scratch!,4.4,176,9.5,45,All Levels,269.99,349.99,Normal,1612.0,92,80.0
4121,Unity Game Development Master Class,[ School of Game Design ],Design and develop 2D & 3D games with the Unity game engine. Learn to code in C# while you build advanced games & apps,4.4,176,25.0,295,All Levels,319.99,1599.99,Normal,2021.0,118,1280.0
4122,Complete Python for data science and cloud computing,Datagist INC,A complete & in-depth use case course taught by data science PHD & business consultants with thousand examples,4.0,176,49.0,361,All Levels,229.99,719.99,Normal,1352.0,110,490.0
